date,Volume,VWAP,Open,Close,High,Low,Trades,SMA_20,SMA_50,SMA_100
5/2/2024,30396133,22.4906,22.6,22.55,22.715,22.1,144365,22.0645,23.3714,20.9718
5/3/2024,55976409,23.2013,23.48,23.33,23.64,22.91,239061,22.083,23.3662,21.0274
5/6/2024,175936565,24.5997,24.37,25.21,25.355,24.03,713025,22.1935,23.411,21.1018
5/7/2024,161061622,21.7372,21.99,21.4,22.7,21.35,640397,22.123,23.3678,21.1408
5/8/2024,67582882,21.3548,21.58,21.56,21.73,21.06,272232,22.08,23.3084,21.1777
5/9/2024,54101937,21.2471,21.49,21.14,21.58,20.94,215157,21.995,23.2428,21.207
5/10/2024,59845413,20.7805,21.27,20.6,21.37,20.5,251658,21.8915,23.1532,21.231
5/13/2024,37524809,20.9287,20.6,20.94,21.19,20.6,176397,21.8435,23.0734,21.262
5/14/2024,57894354,21.6057,20.95,21.44,22.07,20.93,239093,21.8215,23.0214,21.2969
5/15/2024,39424029,21.5047,21.73,21.67,21.8099,21.185,167607,21.8395,22.9786,21.3411
5/16/2024,27416677,21.7303,21.74,21.65,21.87,21.535,123425,21.8655,22.8884,21.3817
5/17/2024,30032254,21.8386,21.78,21.76,22.1693,21.56,133489,21.93,22.7944,21.4252
5/20/2024,35255258,21.4328,21.77,21.62,21.77,21.22,165992,21.9625,22.706,21.4646
5/21/2024,27953962,21.243,21.34,21.24,21.45,21.12,133901,21.9425,22.6238,21.5023
5/22/2024,25212469,21.2495,21.23,21.17,21.42,21.08,117023,21.9215,22.5532,21.5384
5/23/2024,36887627,20.903,21.39,20.72,21.5198,20.63,178923,21.872,22.4676,21.5739
5/24/2024,22158712,20.9644,20.72,21.01,21.15,20.65,109152,21.7965,22.3992,21.6182
5/28/2024,26274188,21.025,21.06,21.05,21.22,20.73,132448,21.7075,22.3504,21.6678
5/29/2024,24834240,20.8627,20.77,20.94,20.99,20.64,133565,21.656,22.2892,21.7147
5/30/2024,47583129,21.5721,21.28,21.73,21.96,21.02,199958,21.6365,22.2478,21.7722
5/31/2024,44416074,21.655,21.79,21.68,22.2,21.31,189060,21.593,22.19,21.8223
6/3/2024,33876070,21.2958,21.7,21.32,21.79,21.005,167350,21.4925,22.1266,21.8716
6/4/2024,41974047,21.818,21.05,22.1,22.26,21.04,175903,21.337,22.085,21.9247
6/5/2024,39825392,22.6888,22.48,22.96,22.98,22.22,179531,21.415,22.054,21.9875
6/6/2024,60400366,23.5732,22.98,23.79,23.95,22.98,249405,21.5265,22.032,22.0578
6/7/2024,37149877,23.2994,23.24,23.31,23.57,23.06,180010,21.635,22.008,22.1256
6/10/2024,31509278,22.9579,22.75,23.13,23.16,22.66,162612,21.7615,22.0104,22.193
6/11/2024,30601852,23.5793,23.06,23.85,23.95,22.89,149061,21.907,22.0302,22.2675
6/12/2024,38542724,23.9626,24.2,23.77,24.33,23.57,187670,22.0235,22.0512,22.3374
6/13/2024,26035051,23.4715,23.85,23.27,24.14,23.15,136187,22.1035,22.0626,22.3941
6/14/2024,26618284,23.3717,23.15,23.57,23.72,22.84,140575,22.1995,22.0844,22.4565
6/17/2024,54101503,24.5525,23.47,25.02,25.06,23.45,228726,22.3625,22.1256,22.5392
6/18/2024,54458580,25.4793,25.15,25.82,26.025,24.83,229451,22.5725,22.182,22.6328
6/20/2024,66734955,25.9205,26.44,25.56,26.57,25.155,298347,22.7885,22.237,22.7249
6/21/2024,69981578,24.047,24.71,23.84,26.09,23.53,273240,22.922,22.2654,22.7924
6/24/2024,36477408,24.0213,23.44,24.16,24.3874,23.3,182938,23.094,22.2918,22.8666
6/25/2024,29657245,24.3926,24.16,24.56,24.63,23.9201,123598,23.2715,22.3296,22.9513
6/26/2024,24331377,24.2675,24.47,24.1,24.66,24.025,126154,23.424,22.3736,23.029
6/27/2024,37882859,25.0014,24.1,25.22,25.4,24.05,165338,23.638,22.4404,23.111
6/28/2024,38886441,25.3373,25.28,25.33,25.57,25.03,141559,23.818,22.5208,23.1971
7/1/2024,33167921,25.6923,25.48,25.88,26.02,25.1421,152655,24.028,22.6158,23.2372
7/2/2024,32148242,26.082,25.84,25.83,26.43,25.75,150956,24.2535,22.723,23.2595
7/3/2024,18433843,26.0063,25.96,25.85,26.27,25.76,96954,24.441,22.8206,23.2729
7/5/2024,46703729,26.9077,26,27.23,27.25,25.975,234478,24.6545,22.9324,23.3014
7/8/2024,59611163,27.6396,27.93,27.7,27.986,26.84,302672,24.85,23.0546,23.3279
7/9/2024,53226526,27.6908,27.93,27.39,28.38,27.23,261946,25.054,23.1682,23.3617
7/10/2024,43231028,28.0137,27.5,28.42,28.47,27.37,210238,25.3185,23.2862,23.394
7/11/2024,61546057,27.7306,28.49,27.64,28.59,26.9,303810,25.508,23.3824,23.4163
7/12/2024,30760268,27.9087,27.32,28.07,28.13,27.28,169120,25.723,23.5044,23.4526
7/15/2024,49186345,28.7873,28.42,28.67,29.3,27.9,240800,25.993,23.6354,23.5053
7/16/2024,59330683,28.2781,28.18,28.67,28.84,27.47,267145,26.248,23.7578,23.5646
7/17/2024,45203461,28.2116,28,28.22,28.87,27.6,227409,26.408,23.8556,23.6109
7/18/2024,76485561,28.9634,28.42,28.64,29.83,28.15,334829,26.549,23.9242,23.6676
7/19/2024,49581636,28.9632,28.31,28.58,29.6,28.27,237865,26.7,24.0678,23.7178
7/22/2024,38037812,28.3522,28.93,28.46,28.97,27.69,197146,26.931,24.2058,23.7571
7/23/2024,31134262,28.872,28.34,28.81,29.19,28.31,156629,27.1635,24.3592,23.801
7/24/2024,49004105,27.3173,28.44,26.6,28.685,26.58,259541,27.2655,24.4792,23.8162
7/25/2024,45474613,26.4501,26.04,26.63,27.288,25.42,252488,27.392,24.593,23.8332
7/26/2024,27432224,27.0692,27,27.18,27.34,26.77,140323,27.49,24.7078,23.8646
7/29/2024,26038842,27.2402,27.56,27.08,27.8,26.73,138738,27.5775,24.816,23.8973
7/30/2024,31819905,26.5227,27.25,26.37,27.44,25.89,171679,27.602,24.9104,23.8994
7/31/2024,29111605,27.1125,27.02,26.89,27.39,26.88,135547,27.655,25.013,23.9037
8/1/2024,31189607,26.5171,27.02,26.08,27.535,25.83,171562,27.6665,25.1022,23.9041
8/2/2024,56092591,24.4096,24.75,24.74,24.87,23.75,294209,27.542,25.1722,23.898
8/5/2024,88023468,24.1879,21.74,24.09,24.42,21.23,453448,27.3615,25.2306,23.8919
8/6/2024,99622681,26.7,27.05,26.59,27.42,25.57,452013,27.3215,25.348,23.9078
8/7/2024,75975382,27.4511,27.07,26.32,28.36,26.24,354648,27.2165,25.4542,23.9267
8/8/2024,96892918,28.4951,27.04,29.28,29.375,26.69,400961,27.2985,25.6188,23.9846
