date,Volume,VWAP,Open,Close,High,Low,Trades,SMA_20,SMA_50,SMA_100
2024-01-30,410735300.0,62.8595,62.9,62.774,63.493,62.26,660019,55.995799999999996,51.35844,
2024-01-31,453794870.0,61.5108,61.44,61.527,62.269,60.7,701640,56.66375000000001,51.599380000000004,47.971149999999994
2024-02-01,369145790.0,62.4717,62.1,63.027,63.191,61.65,599646,57.43665,51.87396,48.1457
2024-02-02,476577650.0,65.6028,63.974,66.16,66.6,63.69,813526,58.34475,52.18898,48.35552
2024-02-05,680078010.0,68.6607,68.225,69.332,69.497,67.205,1160230,59.356500000000004,52.57674,48.60014
2024-02-06,683111360.0,67.8474,69.63,68.223,69.754,66.3,1223707,60.154999999999994,52.96688,48.82752000000001
2024-02-07,495574550.0,69.2666,68.319,70.099,70.22,67.6,839834,61.00295000000001,53.41334,49.072700000000005
2024-02-08,414422110.0,70.0906,70.074,69.641,70.794,69.455,717947,61.7675,53.84132,49.33011
2024-02-09,436636890.0,71.4565,70.533,72.133,72.185,70.212,773568,62.633050000000004,54.327560000000005,49.611779999999996
2024-02-12,613710180.0,72.881,72.6,72.248,74.611,71.25,1078959,63.50995,54.80972,49.89906
2024-02-13,602580150.0,71.967,70.4,72.128,73.45,69.62,1062434,64.29724999999999,55.31688,50.19795
2024-02-14,504917420.0,73.2461,73.202,73.9,74.236,71.938,854412,65.18960000000001,55.859579999999994,50.52678
2024-02-15,420121810.0,73.0294,73.869,72.658,73.975,72.4,806555,65.96715,56.40254000000001,50.83725999999999
2024-02-16,495326620.0,73.4282,74.1,72.613,74.402,72.501,898213,66.62325,56.92348,51.14117
2024-02-20,704833100.0,69.0538,71.947,69.452,71.956,67.734,1568244,67.11314999999999,57.40245999999999,51.41658
2024-02-21,690298130.0,68.351,68.006,67.472,68.888,66.248,1617873,67.4931,57.819979999999994,51.66662
2024-02-22,865099740.0,77.2824,75.025,78.538,78.575,74.22,1827501,68.3519,58.440619999999996,52.02111
2024-02-23,829388370.0,79.8955,80.79,78.817,82.394,77.57,1644222,69.2119,59.08442,52.374289999999995
2024-02-26,503972730.0,79.5584,79.7,79.092,80.646,78.505,975739,70.11495,59.713119999999996,52.71739
2024-02-27,391705240.0,78.7656,79.381,78.701,79.48,77.162,758325,70.92675,60.32538,53.06923
2024-02-28,393110400.0,77.9578,77.62,77.663,78.933,77.125,737984,71.6712,60.911640000000006,53.40545
2024-02-29,507288980.0,79.2564,79.094,79.112,79.99,78.35,764736,72.55045,61.516079999999995,53.74969
2024-03-01,479135100.0,81.3682,80.0,82.279,82.3,79.435,975905,73.51304999999999,62.16012,54.11486
2024-03-04,615616450.0,85.7211,84.13,85.237,87.695,83.719,1323065,74.46690000000001,62.87277999999999,54.514500000000005
2024-03-05,520639300.0,84.9834,85.27,85.964,86.097,83.417,1036771,75.2985,63.629839999999994,54.91616
2024-03-06,582520300.0,88.4523,88.022,88.7,89.724,87.03,1116153,76.32235,64.42404,55.335100000000004
2024-03-07,608119160.0,91.6171,90.158,92.669,92.767,89.602,1256063,77.45084999999999,65.30082,55.79234
2024-03-08,1142269060.0,91.0655,95.1379,87.528,97.4,86.506,2561403,78.3452,66.0658,56.213010000000004
2024-03-11,678364120.0,86.6503,86.429,85.774,88.797,84.166,1494061,79.02725000000001,66.79294,56.60979999999999
2024-03-12,668075150.0,89.7153,88.049,91.913,91.96,86.1501,1336881,80.01050000000001,67.64076,57.08955
2024-03-13,635712890.0,89.9592,91.055,90.888,91.504,88.435,1295442,80.9485,68.46808,57.57647
2024-03-14,602318160.0,88.0826,89.577,87.944,90.646,86.6,1249654,81.6507,69.2636,58.03490000000001
2024-03-15,642086160.0,88.241,86.93,87.8365,89.546,86.257,1031106,82.409625,70.06895,58.49939499999999
2024-03-18,668975930.0,89.3456,90.388,88.455,92.405,87.085,1373021,83.201725,70.87808999999999,58.954195
2024-03-19,672171270.0,87.8605,86.7,89.398,90.544,85.01,1372136,84.19902499999999,71.68411,59.411545
2024-03-20,479062790.0,89.3828,89.797,90.372,90.41,88.223,952627,85.344025,72.44649,59.89747500000001
